time,price,trade,amount
2016/9/29,3244.387,5545255600.00 ,62220302312.20 
2016/9/28,3230.89,4472749800.00 ,51996404752.10 
2016/9/27,3240.754,5846055000.00 ,66651130361.30 
2016/9/26,3220.283,7045218600.00 ,78700835131.90 
2016/9/23,3275.666,5799398600.00 ,68046257250.00 
2016/9/22,3291.121,7575354200.00 ,89991761654.80 
2016/9/21,3266.636,5914297900.00 ,68957744043.60 
2016/9/20,3257.403,5278420600.00 ,61626150817.60 
2016/9/19,3263.124,5883108200.00 ,67678031641.80 
2016/9/14,3238.729,7043269700.00 ,79780746436.20 
2016/9/13,3260.333,6718028800.00 ,76862644231.20 
2016/9/12,3262.604,12291768200.00 ,134456630927.00 
2016/9/9,3318.044,8265703600.00 ,95471188732.00 
2016/9/8,3339.564,7191615800.00 ,83742346849.70 
2016/9/7,3340.817,10294010600.00 ,115119908617.00 
2016/9/6,3342.625,9828399800.00 ,118366533426.00 
2016/9/5,3319.68,7829247700.00 ,87531089645.20 
2016/9/2,3314.114,8279180300.00 ,99396378583.50 
2016/9/1,3301.576,8494721900.00 ,100911462823.00 
2016/8/31,3327.793,7957080500.00 ,99215044445.20 
2016/8/30,3311.987,7572598700.00 ,89513016667.40 
2016/8/29,3307.781,7703633300.00 ,88011642022.00 
2016/8/26,3307.09,8153069100.00 ,93213205559.60 
2016/8/25,3308.972,10058915300.00 ,112578140010.00 
2016/8/24,3329.863,8119142900.00 ,94012832199.80 
2016/8/23,3341.829,9292451600.00 ,108503692377.00 
2016/8/22,3336.794,10795100800.00 ,128201783812.00 
2016/8/19,3365.019,11996150800.00 ,135382706293.00 
2016/8/18,3364.485,14238016900.00 ,172256533000.00 
2016/8/17,3373.047,13884768800.00 ,167917530856.00 
2016/8/16,3378.245,19638974000.00 ,226785231085.00 
2016/8/15,3393.423,22054342100.00 ,258897463910.00 
2016/8/12,3294.233,11625404400.00 ,129354686387.00 
2016/8/11,3233.36,10104121300.00 ,116996159046.00 
2016/8/10,3243.34,9043037200.00 ,106157448028.00 
2016/8/9,3256.981,9106525900.00 ,105924052436.00 
2016/8/8,3234.183,8667605100.00 ,102638114597.00 
2016/8/5,3205.11,7719636600.00 ,94429542390.60 
2016/8/4,3201.288,7350437300.00 ,86919591121.00 
2016/8/3,3193.507,7286410200.00 ,79754323301.30 
2016/8/2,3189.052,6216763900.00 ,70640763841.90 
2016/8/1,3176.809,8700349700.00 ,98818634360.90 
2016/7/29,3203.93,8804483700.00 ,103787029748.00 
2016/7/28,3221.136,11277996400.00 ,137295892753.00 
2016/7/27,3218.243,16018866500.00 ,186928366498.00 
2016/7/26,3269.588,8105108900.00 ,103745762758.00 
2016/7/25,3230.885,7020318500.00 ,92015844035.30 
2016/7/22,3225.162,8602912800.00 ,107416887320.00 
2016/7/21,3252.522,8600482500.00 ,107464072513.00 
2016/7/20,3237.605,7270125500.00 ,91367448993.80 
2016/7/19,3248.234,8888686100.00 ,107108911172.00 
2016/7/18,3262.022,11031251800.00 ,129785706199.00 
2016/7/15,3276.277,10266502600.00 ,125179812929.00 
2016/7/14,3276.763,10752579800.00 ,128090420917.00 
2016/7/13,3282.868,17519609000.00 ,196592300322.00 
2016/7/12,3273.182,17253421700.00 ,190853738897.00 
2016/7/11,3203.329,13852951100.00 ,155288151673.00 
2016/7/8,3192.28,8973485500.00 ,111063465417.00 
2016/7/7,3209.954,11859520200.00 ,140488833675.00 
2016/7/6,3216.803,12489745800.00 ,147232471496.00 
2016/7/5,3207.382,13022689500.00 ,143899100428.00 
2016/7/4,3204.696,13331052900.00 ,149894780037.00 
2016/7/1,3154.2,7174628300.00 ,91215027688.30 
2016/6/30,3153.921,7969261700.00 ,100627912925.00 
2016/6/29,3151.389,10372366800.00 ,117958861189.00 
2016/6/28,3136.401,9202463700.00 ,117197791504.00 
2016/6/27,3120.544,8326725900.00 ,104066083790.00 
2016/6/24,3077.155,10479220800.00 ,118967441702.00 
2016/6/23,3117.316,6775173800.00 ,81732552158.80 
2016/6/22,3133.961,6648711300.00 ,81348715847.60 
2016/6/21,3106.317,8796534500.00 ,107233643632.00 
2016/6/20,3112.674,6358714100.00 ,74647802461.70 
2016/6/17,3110.357,8540298500.00 ,97953389320.00 
2016/6/16,3094.674,8297470300.00 ,93496238870.50 
2016/6/15,3116.368,8739325700.00 ,106170177872.00 
2016/6/14,3075.983,6627945700.00 ,78622305349.50 
2016/6/13,3066.341,9297594700.00 ,114091320004.00 
2016/6/8,3163.986,7629177500.00 ,97682790861.10 
